LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Unit.Code,Unit,PowerCode.Code,PowerCode,Reference.Period.Code,Reference.Period,Value
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2023,IDX,Index,0,Units,2015_100,2015=100,121.0734
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,1992,IDX,Index,0,Units,2015_100,2015=100,66.36819
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,1993,IDX,Index,0,Units,2015_100,2015=100,67.606
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,1994,IDX,Index,0,Units,2015_100,2015=100,67.71793
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,1995,IDX,Index,0,Units,2015_100,2015=100,69.17303
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,1996,IDX,Index,0,Units,2015_100,2015=100,70.25941
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,1997,IDX,Index,0,Units,2015_100,2015=100,71.39848
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,1998,IDX,Index,0,Units,2015_100,2015=100,72.10956
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,1999,IDX,Index,0,Units,2015_100,2015=100,73.36055
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2000,IDX,Index,0,Units,2015_100,2015=100,75.35555
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2001,IDX,Index,0,Units,2015_100,2015=100,77.25836
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2002,IDX,Index,0,Units,2015_100,2015=100,79.00316
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2003,IDX,Index,0,Units,2015_100,2015=100,81.18251
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2004,IDX,Index,0,Units,2015_100,2015=100,82.69028
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2005,IDX,Index,0,Units,2015_100,2015=100,84.52068
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2006,IDX,Index,0,Units,2015_100,2015=100,86.2128
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2007,IDX,Index,0,Units,2015_100,2015=100,88.05636
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2008,IDX,Index,0,Units,2015_100,2015=100,90.14353
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2009,IDX,Index,0,Units,2015_100,2015=100,90.41348
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2010,IDX,Index,0,Units,2015_100,2015=100,92.02002
